Trail_Name,State,Difficulty,Length_Miles,Elevation_Gain,Vehicle_Requirement,Rating,Trail_Type,Estimated_Duration_Hours,Scenic_Score
Bear Pass,Colorado,Moderate,5.9,524,Any SUV,4.0,Mountain,2.0,56
Cliff Pass,Utah,Easy,1.8,164,Any SUV,3.7,Mud,1.2,46
Summit Flats,Utah,Hard,5.4,1035,Locker Required,3.9,Rock Crawling,2.1,59
Frost Flats,Tennessee,Moderate,9.4,602,Lifted Jeep,4.6,Scenic,2.7,87
Cedar Saddle,Oregon,Moderate,12.6,2299,Lifted Jeep,4.6,Forest,3.0,49
Juniper Crossing,Utah,Hard,3.7,1187,Locker Required,3.6,Mountain,1.7,56
Cliff Notch,California,Easy,8.7,313,Any SUV,4.2,Scenic,2.2,76
Coyote Gulch,Colorado,Moderate,16.0,1336,Stock Jeep,3.1,Mud,3.7,61
Pine Trail,Montana,Easy,9.3,569,Any SUV,2.9,Mountain,1.4,97
Copper Basin,North Carolina,Hard,9.2,3641,Lifted Jeep,4.5,Desert,4.6,69
Thunder Hollow,North Carolina,Extreme,5.6,1590,Locker Required,4.0,Forest,4.4,44
Thunder Saddle,Colorado,Easy,10.7,408,Any SUV,4.7,Scenic,2.5,100
Eagle Canyon,Utah,Moderate,14.2,1840,Stock Jeep,4.0,Mountain,3.2,71
Sand Grade,West Virginia,Extreme,2.3,1500,Locker Required,4.7,Mountain,2.8,84
Sand Run,Colorado,Hard,13.3,1672,Lifted Jeep,3.0,Rock Crawling,5.8,30
Broken Grade,California,Hard,9.4,2378,Lifted Jeep,4.5,Scenic,3.8,88
Coyote Bench,Utah,Easy,8.9,134,Any SUV,4.4,Forest,1.9,69
Red Rock Bench,Montana,Moderate,17.0,2139,Stock Jeep,4.4,Scenic,3.5,60
Cliff Canyon,California,Moderate,15.8,595,Stock Jeep,3.9,Rock Crawling,4.0,51
Summit Grade,Utah,Easy,3.0,175,Any SUV,4.1,Rock Crawling,1.6,52
Lost Mesa,New Mexico,Easy,10.3,1274,Stock Jeep,4.2,Mud,2.0,45
Cliff Grade,Utah,Extreme,7.9,2827,Locker Required,3.5,Forest,6.7,66
Broken Spur,Nevada,Hard,4.9,3238,Lifted Jeep,3.2,Desert,1.9,52
Black Canyon,North Carolina,Moderate,2.9,962,Lifted Jeep,4.2,Desert,1.8,64
Lost Bench,Montana,Extreme,5.0,3787,Locker Required,3.5,Mud,4.7,40
Stone Fork,Utah,Hard,2.7,1959,Lifted Jeep,5.0,Rock Crawling,1.1,47
Cedar Grade,Colorado,Extreme,4.3,1467,Locker Required,4.3,Desert,3.4,67
Coyote Canyon,Wyoming,Hard,7.9,2953,Lifted Jeep,4.4,Scenic,4.0,79
Pine Basin,Washington,Hard,4.5,2169,Locker Required,4.2,Desert,2.0,79
Iron Draw,North Carolina,Extreme,5.3,4884,Lifted Jeep,3.9,Forest,5.0,69
Wild Horse Gulch,California,Moderate,3.8,1699,Stock Jeep,4.1,Forest,1.4,68
Red Rock Flats,Colorado,Moderate,16.4,2739,Lifted Jeep,4.3,Mountain,3.5,68
Iron Hollow,West Virginia,Hard,13.7,4300,Locker Required,4.0,Rock Crawling,5.8,62
Cottonwood Canyon,Washington,Easy,9.7,563,Any SUV,4.0,Mountain,1.5,62
Eagle Bench,Colorado,Moderate,5.6,1686,Stock Jeep,3.7,Rock Crawling,1.5,73
Frost Basin,Arizona,Easy,11.7,452,Any SUV,2.9,Forest,2.2,79
Red Rock Mesa,Georgia,Easy,1.9,422,Any SUV,4.1,Mountain,1.7,59
Boulder Run,Utah,Hard,10.2,803,Locker Required,3.2,Forest,4.6,56
